STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/2/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/3/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/4/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/5/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/6/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/7/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/8/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/9/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/10/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/11/2019,0.01
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/12/2019,0.15
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/13/2019,0.65
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/17/2019,0.12
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/18/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/19/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/20/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/22/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/23/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/24/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/25/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/26/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/27/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/28/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/29/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/30/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,3/31/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/1/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/2/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/3/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/4/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/5/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/6/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/7/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/8/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/9/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/10/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/11/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/12/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/13/2019,0.01
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/14/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/15/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/16/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/17/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/18/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/19/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/20/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/21/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/22/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/23/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/24/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/25/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/26/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/27/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/29/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,4/30/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/1/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/2/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/3/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/4/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/5/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/6/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/7/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/8/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/9/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/10/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/11/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/12/2019,0.77
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/13/2019,0.05
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/14/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/15/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/16/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/17/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/18/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/19/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/20/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/21/2019,0.07
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/22/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/23/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/24/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/25/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/26/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/27/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/28/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/29/2019,0
USC00026282,"PATAGONIA PATON CENTER, AZ US",31.53923,-110.76028,1232.6,5/30/2019,0
